title,NER
No-Bake Nut Cookies,"[""brown sugar"", ""milk"", ""vanilla"", ""nuts"", ""butter"", ""bite size shredded rice biscuits""]"
Jewell Ball'S Chicken,"[""beef"", ""chicken breasts"", ""cream of mushroom soup"", ""sour cream""]"
Creamy Corn,"[""frozen corn"", ""cream cheese"", ""butter"", ""garlic powder"", ""salt"", ""pepper""]"
Chicken Funny,"[""chicken"", ""chicken gravy"", ""cream of mushroom soup"", ""shredded cheese""]"
Reeses Cups(Candy)  ,"[""peanut butter"", ""graham cracker crumbs"", ""butter"", ""powdered sugar"", ""chocolate chips""]"
Cheeseburger Potato Soup,"[""baking potatoes"", ""extra lean ground beef"", ""butter"", ""milk"", ""salt"", ""pepper"", ""Cheddar cheese"", ""bacon"", ""green onion"", ""sour cream""]"
Rhubarb Coffee Cake,"[""sugar"", ""butter"", ""egg"", ""buttermilk"", ""flour"", ""salt"", ""soda"", ""buttermilk"", ""rhubarb"", ""vanilla""]"
Scalloped Corn,"[""cream-style corn"", ""whole kernel corn"", ""crackers"", ""egg"", ""butter"", ""pepper""]"
Nolan'S Pepper Steak,"[""tomatoes"", ""water"", ""onions"", ""Worcestershire sauce"", ""green peppers"", ""oil""]"
Millionaire Pie,"[""pineapple"", ""condensed milk"", ""lemons"", ""pecans"", ""graham cracker crusts""]"
Double Cherry Delight,"[""dark sweet pitted cherries"", ""ginger ale"", ""flavor gelatin"", ""boiling water"", ""almond extract"", ""marshmallows""]"
Buckeye Candy,"[""powdered sugar"", ""butter"", ""peanut butter"", ""paraffin"", ""chocolate chips""]"
Quick Barbecue Wings,"[""chicken"", ""flour"", ""barbecue sauce""]"
Taco Salad Chip Dip,"[""taco sauce"", ""sour cream"", ""cream cheese"", ""ground beef"", ""taco seasoning"", ""shredded lettuce"", ""tomato"", ""onion"", ""green pepper"", ""Cheddar cheese""]"
Pink Stuff(Frozen Dessert)  ,"[""pie filling"", ""pineapple"", ""condensed milk"", ""lemon juice""]"
Fresh Strawberry Pie,"[""shell"", ""cleaned strawberries"", ""water"", ""cornstarch"", ""sugar"", ""salt"", ""strawberry jello""]"
Easy German Chocolate Cake,"[""chocolate fudge cake"", ""white cake"", ""Wesson oil""]"
Broccoli Salad,"[""broccoli"", ""bacon"", ""green onions"", ""raisins"", ""mayonnaise"", ""vinegar"", ""sugar""]"
Strawberry Whatever,"[""frozen strawberries"", ""pineapple"", ""bananas"", ""pecans"", ""strawberry"", ""boiling water"", ""sour cream""]"
Eggless Milkless Applesauce Cake,"[""sugar"", ""shortening"", ""applesauce"", ""soda"", ""cinnamon"", ""flour"", ""raisins"", ""nuts""]"
"Grandma Hanrath'S Banana Breadfort Collins, Colorado  ","[""sugar"", ""shortening"", ""eggs"", ""salt"", ""soda"", ""flour"", ""nuts"", ""bananas""]"
Chocolate Frango Mints,"[""cake mix"", ""chocolate fudge pudding"", ""sour cream"", ""water"", ""Wesson oil"", ""eggs"", ""Frango""]"
Cuddy Farms Marinated Turkey,"[""vegetable oil"", ""soy sauce"", ""garlic""]"
Spaghetti Sauce To Can,"[""tomatoes"", ""oil"", ""garlic"", ""tomato paste"", ""peppers"", ""sugar"", ""salt"", ""sweet basil"", ""oregano"", ""Italian seasoning""]"
Prize-Winning Meat Loaf,"[""ground beef"", ""tomato juice"", ""oats"", ""egg"", ""onion"", ""pepper"", ""salt""]"
Smothered Round Steak(Servings: 4)  ,"[""steak"", ""ground black pepper"", ""ground white pepper"", ""vegetable oil"", ""bell peppers"", ""beef stock"", ""salt"", ""ground red pepper"", ""flour"", ""onions"", ""celery""]"
Corral Barbecued Beef Steak Strips,"[""long"", ""cooking oil"", ""tomato sauce"", ""water"", ""brown sugar"", ""mustard"", ""Worcestershire sauce"", ""onion""]"
Easy Fudge,"[""condensed milk"", ""semi-sweet chocolate chips"", ""unsweetened chocolate"", ""nuts"", ""vanilla""]"
Taco-Filled Green Pepper,"[""Ground Beef"", ""taco seasoning"", ""beans"", ""onion"", ""salsa"", ""green peppers"", ""Tomato"", ""cheddar cheese"", ""sour cream""]"
One Hour Rolls,"[""milk"", ""sugar"", ""yeast"", ""salt"", ""Crisco oil"", ""flour""]"
Punch Bowl Fruit Salad,"[""peaches"", ""fruit cocktail"", ""pineapple"", ""fresh strawberries"", ""red apples"", ""yellow apples"", ""bananas"", ""white grapes"", ""purple grapes""]"
Summer Chicken,"[""chicken cutlets"", ""oil"", ""red vinegar"", ""oregano"", ""garlic salt""]"
Cherry Pizza,"[""cherry pie mix"", ""deluxe white cake mix"", ""butter"", ""ground nuts""]"
Potato And Cheese Pie,"[""eggs"", ""salt"", ""pepper"", ""potatoes"", ""Cheddar cheese"", ""green onions""]"
Tuna Macaroni Casserole,"[""macaroni"", ""tuna"", ""pimentos"", ""onion""]"
Artichoke Dip,"[""hearts"", ""mayonnaise"", ""Parmesan cheese""]"
Broccoli Dip For Crackers,"[""sour cream"", ""vegetable soup mix"", ""broccoli"", ""Cheddar cheese""]"
Summer Spaghetti,"[""Salad Supreme"", ""Italian dressing""]"
Pear-Lime Salad,"[""pear halves"", ""lime gelatin"", ""cream cheese"", ""lemon yogurt""]"
Watermelon Rind Pickles,"[""watermelon rind"", ""sugar"", ""apple vinegar"", ""oil"", ""oil of cinnamon""]"
Chicken Stew,"[""chicken"", ""potatoes"", ""onions"", ""corn"", ""English peas"", ""peas"", ""butter beans"", ""tomatoes"", ""tomato juice"", ""macaroni"", ""black pepper"", ""salt"", ""sugar""]"
Quick Coffee Cake(6 Servings)  ,"[""butter"", ""sugar"", ""egg"", ""flour"", ""baking powder"", ""salt"", ""milk"", ""vanilla"", ""brown sugar"", ""cinnamon"", ""butter""]"
Angel Biscuits,"[""flour"", ""sugar"", ""baking powder"", ""yeast"", ""buttermilk"", ""soda"", ""margarine"", ""warm water""]"
Quick Peppermint Puffs,"[""marshmallows"", ""margarine"", ""peppermint candy"", ""crescent rolls""]"
Fruit Pizza,"[""yellow cake mix"", ""water"", ""brown sugar"", ""butter"", ""eggs"", ""nuts""]"
Chocolate Mint Bars,"[""flour"", ""sugar"", ""oleo"", ""eggs"", ""chocolate syrup""]"
Beer Bread,"[""flour"", ""beer"", ""sugar""]"
Chicken Divan,"[""margarine"", ""onion"", ""celery"", ""flour"", ""curry powder"", ""mushrooms"", ""cream of celery soup"", ""broccoli"", ""chicken"", ""cheese""]"
Mexican Cookie Rings,"[""flour"", ""baking powder"", ""salt"", ""butter"", ""sugar"", ""egg yolks"", ""vanilla"", ""multi-colored candies""]"
Vegetable-Burger Soup,"[""ground beef"", ""water"", ""sugar"", ""onion soup"", ""tomatoes"", ""tomato sauce"", ""frozen mixed vegetables""]"
